,Unnamed: 0,file,Rin_vclamp (MOhms),Access resistance (MOhms),Tau_vclamp (ms),Cm_vclamp (pF),Inward current peak - -70.0 mV (pA),Inward current peak - -60.0 mV (pA),Inward current peak - -50.0 mV (pA),Inward current peak - -40.0 mV (pA),Inward current peak - -30.0 mV (pA),Inward current peak - -20.0 mV (pA),Inward current peak - -10.0 mV (pA),Inward current peak - 0.0 mV (pA),Inward current peak - 10.0 mV (pA),Inward current peak - 20.0 mV (pA),Rin (MOhms),RMP (mV),Sag ratio,Delay,Pause,Burst,Spike Frequency - -40.0 pA (Hz),Spike Frequency - -20.0 pA (Hz),Spike Frequency - 0.0 pA (Hz),Spike Frequency - 20.0 pA (Hz),Spike Frequency - 40.0 pA (Hz),Spike Frequency - 60.0 pA (Hz),Spike Frequency - 80.0 pA (Hz),FI Curve Slope,Spike Frequency - 100.0 pA (Hz),Spike Frequency - 120.0 pA (Hz),Spike Frequency - 140.0 pA (Hz),Spike Frequency - 160.0 pA (Hz),Spike Frequency - 180.0 pA (Hz),Spike Frequency - 200.0 pA (Hz),Spike Frequency - 220.0 pA (Hz),Spike Frequency - 240.0 pA (Hz),Spike Frequency - -100.0 pA (Hz),Spike Frequency - -80.0 pA (Hz),Spike Frequency - -60.0 pA (Hz),Spike Frequency - 260.0 pA (Hz),Spike Frequency - 280.0 pA (Hz),Threshold (mV),Peak (mV),Height (mV),Trough (mV),Fast Trough (mV),Slow Trough (mV),FWHM (ms),Upstroke/Downstroke,AHP amplitude (mV),Adaptation index,Rheobase_estimated (pA),Tau (ms),Cm (pF),Delay Ratio,Burst Index,No. of Burst,Rheobase (pA),Spike Frequency - -10.0 pA (Hz),Spike Frequency - 10.0 pA (Hz),Spike Frequency - 30.0 pA (Hz),Spike Frequency - 50.0 pA (Hz),Spike Frequency - 70.0 pA (Hz),Spike Frequency - -5.0 pA (Hz),Spike Frequency - 5.0 pA (Hz),Spike Frequency - 15.0 pA (Hz),Spike Frequency - 25.0 pA (Hz),Spike Frequency - 35.0 pA (Hz),Spike Frequency - 45.0 pA (Hz),Spike Frequency - 55.0 pA (Hz),Spike Frequency - 65.0 pA (Hz),Spike Frequency - 75.0 pA (Hz),Spike Frequency - 85.0 pA (Hz),No. of Pause,Pause Fraction,Spike Frequency - -50.0 pA (Hz),Spike Frequency - -30.0 pA (Hz),Spike Frequency - 90.0 pA (Hz),Spike Frequency - 110.0 pA (Hz),Spike Frequency - 130.0 pA (Hz),Spike Frequency - 150.0 pA (Hz),Spike Frequency - 170.0 pA (Hz),Spike Frequency - 190.0 pA (Hz),Spike Frequency - 210.0 pA (Hz),Spike Frequency - 230.0 pA (Hz)
Q69,2023_04_01_0077,2023_04_01_0077,153.4414966356457,13.392106605226417,0.918906597953132,68.61553787172801,4.272461,0.61035156,-12.207031,-3782.959,-3225.708,-2621.46,-2088.0127,-1536.8652,-1038.8184,-540.16113,324.0094866071434,-54.234314,0.1637174,False,False,False,0.0,0.0,0.0,4.0,5.0,7.0,8.0,0.0047368421052631,9.0,10.0,10.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-38.63525390625,40.10009765625,88.56201171875,-48.4619140625,-45.684814453125,20.0,5.899999999999989,7.281719135597595,5.77239990234375,0.1031203933168829,20.0,47.04463243851609,143.57250678841206,1.257776438147726,0.143377332726445,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q71,2023_04_01_0084,2023_04_01_0084,121.70011777982477,9.08652164356494,0.9092792618362052,100.06901403026484,7.3242188,8.544922,-4.8828125,-4114.99,-3566.8945,-2975.4639,-2302.8564,-1625.9766,-895.9961,-145.26367,358.2763671875002,-31.050873,0.19895977,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q72,2023_04_01_0092,2023_04_01_0092,463.1073274214994,17.105164844114107,0.8949241855596054,52.31894540130954,-3.0517578,-3.0517578,-4.8828125,-2357.788,-2058.7158,-1663.208,-1326.9043,-994.87305,-666.5039,-341.79688,573.6868722098218,-52.435303,0.19062032,False,False,True,0.0,0.0,0.0,7.0,9.0,1.0,1.0,0.00375,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,-38.543701171875,33.50830078125,74.554443359375,-41.046142578125,-40.283203125,20.0,4.799999999999999,6.36431215909215,11.38916015625,0.0726534588301557,20.0,67.89215613057338,111.32993426227036,1.4845051727257168,0.3085182534001432,1.0,10.0,0.0,1.3333333333333333,8.0,3.333333333333333,0.6666666666666666,0.0,0.0,4.0,7.333333333333333,8.666666666666666,3.333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,
Q73,2023_04_01_0102,2023_04_01_0102,188.65209401067227,10.291430597333882,0.856102559791666,83.18596250490671,23.19336,9.765625,3.0517578,-1629.0283,-1201.7822,-857.54395,-700.07324,-427.2461,-43.33496,-1.8310547,321.0885184151789,-52.75879,0.1766818,False,False,False,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0032142857142857,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0,0.0,,,-40.069580078125,22.491455078125,64.422607421875,-41.93115234375,-39.1845703125,20.0,5.700000000000011,4.836526051878049,10.82763671875,0.1756721482641608,20.0,30.859569709616565,96.1092282649423,1.662085066119681,,,15.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,
Q74,2023_04_01_0108,2023_04_01_0108,341.96727764766547,9.35709439064525,0.952951861530822,101.84271118217372,3.0517578,-6.713867,-3.0517578,-3656.0059,-3590.088,-3279.419,-2801.5137,-2163.086,-1495.9717,-773.3154,735.4736328125007,-56.49821,0.19254543,False,False,False,0.0,0.0,0.0,6.0,10.0,0.6666666666666666,1.0,0.0709523809523809,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,-39.0625,40.46630859375,89.2333984375,-48.76708984375,-44.158935546875,10.0,4.399999999999987,7.777054987106025,7.731121063232422,0.1474207907829276,20.0,74.88707489604903,101.82156307857812,1.3765473992125945,0.2939560439560439,1.0,10.0,0.0,2.0,8.0,3.333333333333333,,0.0,0.0,4.666666666666667,6.666666666666667,8.666666666666666,10.0,0.6666666666666666,,,,,,,,,,,,,,,
Q75,2023_04_01_0114,2023_04_01_0114,153.95481670588688,8.548713367699605,0.8611976139443752,100.74002682068132,-23.80371,-21.972656,4.272461,-2684.9365,-2997.4365,-3393.5547,-2841.1865,-2197.2656,-1479.4922,-764.7705,527.9541015624991,-58.09021,0.18754679,False,False,False,,,0.0,0.0,3.333333333333333,6.0,,0.0914285714285714,,,,,,,,,,,,,,-34.24072265625,42.694091796875,103.6376953125,-60.943603515625,-42.938232421875,,5.299999999999999,4.990035273733443,-2.8533935546875,0.0468300254451629,,50.05991610066254,94.8186896408389,1.7845472933946458,,,30.0,0.0,0.0,0.6666666666666666,4.666666666666667,,0.0,0.0,0.0,0.0,2.0,4.0,5.333333333333333,,,,,,,,,,,,,,,
Q76,2023_04_01_0121,2023_04_01_0121,260.5884185061572,11.80438540748677,1.0304273523670535,87.29191031949186,0.0,-0.61035156,-1.8310547,-4.272461,-1886.5967,-1828.0029,-1582.0312,-1239.0137,-823.9746,-363.76953,381.7749023437504,-56.58366,0.1423444,False,False,False,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0066071428571428,2.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,-34.637451171875,30.853271484375,72.75390625,-41.900634765625,-39.85595703125,40.0,4.299999999999998,4.801613745112788,14.683025360107422,0.1376701802394179,40.0,29.62048253453281,77.58624873633654,1.849485798119036,,,35.0,0.0,0.0,0.0,0.6666666666666666,,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,2.0,,,,,,,,,,,,,,,
Q77,2023_04_01_0125,2023_04_01_0125,296.26457230248604,8.176288896805168,0.8159294447659409,99.7921496003841,1.2207031,-3.0517578,-10.375977,-3521.7285,-3645.0195,-3682.251,-3095.0928,-2423.706,-1620.4834,-755.61523,558.4716796875002,-60.539753,0.1769475,False,False,False,0.0,0.0,0.0,0.0,3.333333333333333,6.666666666666667,11.0,0.1019047619047618,12.0,2.0,2.0,1.0,1.0,,,,0.0,0.0,0.0,,,-35.70556640625,39.825439453125,101.898193359375,-62.07275390625,-43.853759765625,20.0,5.000000000000004,6.508266914960839,-1.533000946044922,0.1289579158361451,20.0,70.50958773877841,126.2545448647153,1.7048810022682706,0.2144886363636366,1.0,25.0,0.0,0.0,1.3333333333333333,4.666666666666667,,0.0,0.0,0.0,0.6666666666666666,2.6666666666666665,4.0,6.666666666666667,,,,,,,,,,,,,,,
Q78,2023_04_01_0131,2023_04_01_0131,124.39423223725184,11.939479146676655,1.0445730645215787,87.48899777695368,14.6484375,6.713867,-6.1035156,-1831.665,-1782.8369,-1541.748,-1207.8857,-839.2334,-385.13184,3.6621094,262.4511718749998,-52.76591,0.041136276,False,False,False,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.0252380952380952,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,-35.064697265625,28.106689453125,71.990966796875,-43.88427734375,-41.229248046875,25.0,7.099999999999995,6.700596803703951,8.881633758544922,0.1886574074074075,60.0,65.6576806571244,250.171032531704,1.7307828421329967,,,25.0,0.0,0.0,1.3333333333333333,0.6666666666666666,,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,3.333333333333333,0.6666666666666666,,,,,,,,,,,,,,,
Q79,2023_04_01_0136,2023_04_01_0136,131.39178597527206,12.473400323490123,1.0237221836251174,82.07242268150618,-3.0517578,-1.2207031,1.2207031,-1292.7246,-1149.9023,-1111.4502,-874.6338,-505.3711,-186.15723,0.61035156,209.39418247767884,-47.24121,0.02984434,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0035714285714285,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0,0.0,,,-33.355712890625,21.209716796875,69.366455078125,-48.15673828125,-40.313720703125,40.0,7.800000000000002,5.2897579813094575,-0.91552734375,0.5617702176733458,20.0,23.486856460423105,112.16575447566112,1.7937936802977097,,,35.0,0.0,0.0,0.0,1.3333333333333333,,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,
