,Unnamed: 0,file,Rin_vclamp (MOhms),Access resistance (MOhms),Tau_vclamp (ms),Cm_vclamp (pF),Inward current peak - -70.0 mV (pA),Inward current peak - -60.0 mV (pA),Inward current peak - -50.0 mV (pA),Inward current peak - -40.0 mV (pA),Inward current peak - -30.0 mV (pA),Inward current peak - -20.0 mV (pA),Inward current peak - -10.0 mV (pA),Inward current peak - 0.0 mV (pA),Inward current peak - 10.0 mV (pA),Inward current peak - 20.0 mV (pA),Rin (MOhms),RMP (mV),Sag ratio,Delay,Pause,Burst,Spike Frequency - -40.0 pA (Hz),Spike Frequency - -20.0 pA (Hz),Spike Frequency - 0.0 pA (Hz),Spike Frequency - 20.0 pA (Hz),Spike Frequency - 40.0 pA (Hz),Spike Frequency - 60.0 pA (Hz),Spike Frequency - 80.0 pA (Hz),FI Curve Slope,Spike Frequency - 100.0 pA (Hz),Spike Frequency - 120.0 pA (Hz),Spike Frequency - 140.0 pA (Hz),Spike Frequency - 160.0 pA (Hz),Spike Frequency - 180.0 pA (Hz),Spike Frequency - 200.0 pA (Hz),Spike Frequency - 220.0 pA (Hz),Spike Frequency - 240.0 pA (Hz),Spike Frequency - -100.0 pA (Hz),Spike Frequency - -80.0 pA (Hz),Spike Frequency - -60.0 pA (Hz),Spike Frequency - 260.0 pA (Hz),Spike Frequency - 280.0 pA (Hz),Threshold (mV),Peak (mV),Height (mV),Trough (mV),Fast Trough (mV),Slow Trough (mV),FWHM (ms),Upstroke/Downstroke,AHP amplitude (mV),Adaptation index,Rheobase_estimated (pA),Tau (ms),Cm (pF),Delay Ratio,Burst Index,No. of Burst,Rheobase (pA),Spike Frequency - -10.0 pA (Hz),Spike Frequency - 10.0 pA (Hz),Spike Frequency - 30.0 pA (Hz),Spike Frequency - 50.0 pA (Hz),Spike Frequency - 70.0 pA (Hz),Spike Frequency - -5.0 pA (Hz),Spike Frequency - 5.0 pA (Hz),Spike Frequency - 15.0 pA (Hz),Spike Frequency - 25.0 pA (Hz),Spike Frequency - 35.0 pA (Hz),Spike Frequency - 45.0 pA (Hz),Spike Frequency - 55.0 pA (Hz),Spike Frequency - 65.0 pA (Hz),Spike Frequency - 75.0 pA (Hz),Spike Frequency - 85.0 pA (Hz),No. of Pause,Pause Fraction,Spike Frequency - -50.0 pA (Hz),Spike Frequency - -30.0 pA (Hz),Spike Frequency - 90.0 pA (Hz),Spike Frequency - 110.0 pA (Hz),Spike Frequency - 130.0 pA (Hz),Spike Frequency - 150.0 pA (Hz),Spike Frequency - 170.0 pA (Hz),Spike Frequency - 190.0 pA (Hz),Spike Frequency - 210.0 pA (Hz),Spike Frequency - 230.0 pA (Hz)
Q81,2023_04_01_0141,2023_04_01_0141,103.03825104032305,9.163506193009544,2.178704889706237,237.75887131153792,-2.4414062,-15.258789,-9.765625,-5866.089,-5054.9316,-4243.164,-3360.5957,-2468.872,-1627.8076,-759.27734,200.0645228794648,-50.441486,0.10597946,False,False,True,0.0,0.0,0.0,2.0,5.0,7.0,8.0,0.0198214285714285,9.0,10.0,2.0,1.0,1.0,,,,0.0,0.0,0.0,,,-37.9638671875,43.426513671875,88.80615234375,-45.379638671875,-41.32080078125,20.0,4.500000000000004,5.86025560985425,5.061847686767578,0.1142066606854088,20.0,37.174035087519655,185.8102303821069,1.6150124343818375,0.2161339421613396,1.0,30.0,0.0,0.0,1.3333333333333333,4.0,,0.0,0.0,0.0,0.0,2.0,3.333333333333333,4.666666666666667,,,,,,,,,,,,,,,
Q44,2023_03_31_0000,2023_03_31_0000,444.6457031789097,7.604142340737754,0.991257541834094,130.35757320370232,10.986328,2.4414062,0.0,8.544922,-2196.045,-2459.7168,-2438.9648,-1962.8906,-1278.6865,-534.0576,677.1414620535718,-51.298523,0.13698941,True,False,True,0.0,0.0,3.0,8.0,8.0,1.0,1.0,-0.0047368421052631,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7900390625,35.46142578125,86.395263671875,-50.933837890625,-49.652099609375,0.0,8.200000000000014,5.099165023531412,0.36468505859375,0.0157092372991079,0.0,,,1.122790004285786,0.0892857142857145,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q45,2023_03_31_0007,2023_03_31_0007,596.5896026961062,9.441053834144263,1.0499038872975366,111.2062176258843,3.0517578,-1.2207031,-1.2207031,-3.0517578,-3710.9375,-3131.7139,-2539.6729,-1942.749,-1276.8555,-633.5449,590.9075055803573,-47.60132,0.13935103,True,False,False,0.0,0.0,3.0,8.0,10.0,1.0,1.0,-0.0048120300751879,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.416748046875,35.33935546875,85.601806640625,-50.262451171875,-48.065185546875,0.0,7.599999999999968,6.817916644963323,-2.6611328125,0.0586263711348734,0.0,,,0.915568408596829,,,0.0,0.0,5.333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,4.0,6.666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,,,,,,,,,
Q46,2023_03_31_0013,2023_03_31_0013,726.2909286348702,13.938193934035269,0.875535904722672,62.81559209652883,-1.8310547,-1.8310547,1.8310547,5.493164,-2482.9102,-2109.375,-1688.8428,-1278.0762,-902.70996,-492.5537,487.5837053571431,-51.716614,0.1631321,True,False,False,0.0,0.0,3.0,7.0,10.0,6.0,1.0,-0.0053007518796992,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.867431640625,36.041259765625,88.409423828125,-52.3681640625,-50.567626953125,0.0,7.599999999999996,5.812608032894252,-0.65155029296875,0.0534046794670025,0.0,,,1.176928692644834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q47,2023_03_31_0020,2023_03_31_0020,236.0039842459068,10.025144035791248,1.18900373417423,118.60215972252472,-0.61035156,-3.0517578,-2.4414062,-2.4414062,-1608.8867,-1558.2275,-1401.9775,-1064.4531,-631.71387,-210.57129,503.7580217633935,-43.304443,0.037692647,False,False,False,0.0,0.0,0.0,4.0,1.0,1.0,1.0,-0.0013533834586466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.11376953125,26.397705078125,62.713623046875,-36.31591796875,-34.088134765625,20.0,6.3,4.775763987641167,6.988525390625,,20.0,41.39871966701902,82.17977258625828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q48,2023_03_31_0025,2023_03_31_0025,423.412856483864,8.54734831054376,2.44550488773738,286.11269821784094,6.713867,-1.2207031,-10.375977,-6.713867,-4049.6826,-3892.8223,-3355.1025,-2643.4326,-1923.8281,-1124.2676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q49,2023_03_31_0030,2023_03_31_0030,-7684.2232051451165,10.373307545697688,2.412861305931745,232.6028892233582,-4.8828125,-6.713867,5.493164,-10.375977,-1166.9922,-1020.5078,-1252.4414,-1179.1992,-842.28516,-518.1885,1138.7416294642858,-40.247345,0.18117955,True,False,False,0.0,0.0,4.0,1.0,0.0,0.0,0.0,-0.0016165413533834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.036376953125,22.4609375,64.75830078125,-42.29736328125,-41.351318359375,0.0,8.399999999999963,3.7574657827990254,-2.050018310546875,0.0753267315927703,0.0,,,0.7770205841218673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q50,2023_03_31_0036,2023_03_31_0036,630.3453289827612,16.373345682121105,1.2966957497892138,79.19552759489726,0.61035156,5.493164,-2.4414062,-1.2207031,-870.9717,-1052.8564,-872.80273,-670.166,-411.37695,-158.08105,664.0189034598221,-52.85797,0.037724957,False,False,False,0.0,0.0,0.0,5.0,1.0,1.0,1.0,-0.0016541353383458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.670166015625,27.89306640625,68.17626953125,-40.283203125,-39.36767578125,20.0,5.599999999999994,3.093476462094317,12.57476806640625,0.0617687888245455,20.0,48.39930181327808,72.88843971323263,1.5453009827049708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q51,2023_03_31_0042,2023_03_31_0042,220.57915923141744,15.890214863384756,0.6693984460126542,42.126456550007056,12.207031,10.986328,12.207031,-1454.4678,-1296.3867,-1010.7422,-761.1084,-464.47754,-167.23633,0.0,380.684988839286,-51.371765,0.06389349,True,False,False,0.0,0.0,2.0,5.0,7.0,2.0,1.0,-0.0034210526315789,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.5927734375,28.38134765625,78.4912109375,-50.10986328125,-47.9736328125,0.0,9.500000000000009,5.748358860233311,1.26190185546875,0.0595888370505614,0.0,,,1.5524767249606826,0.1637591446257737,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q52,2023_03_31_0049,2023_03_31_0049,576.710213849285,19.11889907293877,0.8105750111823039,42.39653172967506,-2.4414062,-4.272461,0.0,-1.2207031,-1611.3281,-1355.5908,-1113.8916,-885.6201,-674.4385,-459.59473,735.1684570312502,-59.59015,0.078540385,False,True,False,0.0,0.0,0.0,5.0,7.0,9.0,11.0,0.0052255639097744,13.0,14.0,15.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.379150390625,39.55078125,87.40234375,-47.8515625,-45.22705078125,20.0,5.000000000000004,4.977860184197512,11.73858642578125,0.0392351324107786,20.0,52.79530223770913,71.81388392383778,1.4077403424392232,0.1528239202657807,1.0,,,,,,,,,,,,,,,,,1.0,0.3647,,,,,,,,,,
Q53,2023_03_31_0052,2023_03_31_0052,578.6782312924709,10.921537860329323,1.0504620318045357,96.1826113903029,-3.0517578,-1.2207031,-4.8828125,0.61035156,-1447.7539,-1896.3623,-1876.2207,-1502.6855,-1065.0635,-580.44434,625.7847377232148,-54.54483,0.028934285,False,False,False,0.0,0.0,0.0,9.0,6.0,1.0,1.0,-0.0034962406015037,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.50830078125,34.149169921875,73.211669921875,-39.0625,-37.841796875,20.0,4.70000000000001,3.700102787730111,15.482330322265623,0.0463948679890054,20.0,,,1.5362078756485558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17,2023_03_27_0000,2023_03_27_0000,62.417911332982825,16.11175192938989,0.89797370385106,55.73408204064025,-247.80273,-279.54102,-4.8828125,15.258789,29.907227,-9.155273,-7.9345703,-4.8828125,-46.38672,11.59668,344.5870535714288,-57.93457,0.12927115,False,False,False,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0378571428571428,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,-36.0107421875,31.1279296875,90.728759765625,-59.600830078125,-44.5556640625,,5.899999999999989,6.712879718644079,-1.666259765625,0.1561996779388085,,51.28531265851101,148.8312231320675,1.552882763134831,0.1671654553227875,1.0,30.0,0.0,0.0,2.0,4.0,4.0,,,,,,,,,,,,,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q18,2023_03_27_0010,2023_03_27_0010,172.74664853007158,9.139856792813788,0.8524895479964517,93.27165264413352,-10.375977,-9.765625,-6.1035156,-1842.6514,-1519.165,-1365.3564,-1483.1543,-1137.085,-651.2451,-97.0459,415.0390625000007,-60.57841,0.093134746,False,True,False,0.0,0.0,0.0,0.0,6.0,10.0,10.0,0.0957142857142857,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,-34.515380859375,23.4375,86.181640625,-62.744140625,-39.947509765625,20.0,5.699999999999983,5.059578174867142,-2.165729522705078,0.2787348206721265,,48.4622927840729,116.76561837856605,1.8849120871890412,0.1424242424242425,1.0,30.0,0.0,0.0,2.0,8.0,12.0,,,,,,,,,,,2.0,0.4659999999999999,0.0,0.0,10.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Q19,2023_03_27_0017,2023_03_27_0017,113.61051040895772,11.056814893948632,0.94418451631639,85.39389737212113,1.2207031,-7.3242188,-1.2207031,-6.1035156,-3679.8096,-2932.129,-2274.7803,-1699.8291,-1064.4531,-485.83984,325.40457589285774,-53.63515,0.108729124,False,False,False,0.0,0.0,0.0,2.0,4.0,6.0,8.0,0.003781979977753,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,-29.1748046875,41.93115234375,93.841552734375,-51.910400390625,-44.921875,20.0,6.199999999999983,7.410587710254617,1.724750518798828,0.1623723869713173,20.0,37.22201709982128,114.38688899100468,1.477277429756531,,,20.0,0.0,0.0,4.0,6.0,6.0,,,,,,,,,,,,,0.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q20,2023_03_27_0025,2023_03_27_0025,236.82783374283807,20.07216901463014,1.1183296543259111,55.71543630938871,-1.8310547,-3.0517578,1.2207031,-1508.7891,-1282.959,-1051.6357,-837.40234,-609.7412,-380.24902,-155.63965,352.8267996651792,-51.39923,0.20540121,False,False,True,0.0,0.0,0.0,2.0,4.0,6.0,5.0,0.0028571428571428,6.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-34.423828125,33.38623046875,77.08740234375,-43.701171875,-39.031982421875,20.0,5.20000000000001,6.410149452903495,7.69805908203125,0.1203496031115079,20.0,,,2.398168087140516,0.2109025915996423,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21,2023_03_27_0033,2023_03_27_0033,155.22519263648496,9.446473940828207,0.9639921342578448,102.04782655371706,10.986328,0.0,-0.61035156,-3219.6045,-3353.8818,-2902.2217,-2275.3906,-1658.3252,-979.0039,-255.7373,303.0395507812501,-60.375977,0.2699067,False,True,True,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0154887218045112,5.0,4.0,4.0,7.0,7.0,7.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,-36.712646484375,34.1796875,95.916748046875,-61.737060546875,-45.379638671875,40.0,6.700000000000012,7.957435187939976,-1.361083984375,0.2365742365742366,40.0,45.851804166920594,151.30633624790065,0.4024795958980258,0.4015748031496061,1.0,,,,,,,,,,,,,,,,,3.0,0.4636,,,,,,,,,,
Q22,2023_03_27_0040,2023_03_27_0040,166.00890510242388,20.05121215209377,1.160809716951425,57.89224652087741,10.986328,-13.427734,7.9345703,-1367.1875,-1139.5264,-875.8545,-659.1797,-447.3877,-283.81348,-64.086914,325.5789620535716,-54.23813,0.2097954,False,False,False,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0041353383458646,4.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-35.614013671875,38.299560546875,91.766357421875,-53.466796875,-44.37255859375,,5.8,6.455004045606412,0.771331787109375,0.2830591753898738,20.0,42.96193547786889,131.9555023054586,1.6131079308538234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,2023_03_27_0046,2023_03_27_0046,150.84730510026037,10.00267541100064,0.9243201088748274,92.40728813995986,5.493164,-3.6621094,-12.817383,-5800.7812,-5107.422,-4264.5264,-3446.045,-2687.9883,-1868.2861,-1077.8809,278.79987444196416,-58.6792,0.25030962,False,False,True,0.0,0.0,0.0,1.0,3.0,5.0,6.0,0.0123308270676691,7.0,8.0,9.0,7.0,10.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,-36.80419921875,45.562744140625,104.55322265625,-58.990478515625,-47.7294921875,,5.099999999999993,7.528462927677132,-0.311279296875,0.1121642969984203,20.0,44.11936675825866,158.24744127509527,1.411271925411807,0.2058823529411767,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24,2023_03_27_0054,2023_03_27_0054,381.86753707221,8.655633550091792,0.8910076007521333,102.93961679358344,-3.0517578,-4.272461,3.6621094,-0.61035156,-4.272461,-5225.83,-4301.758,-3577.8809,-2779.541,-1953.125,407.7148437500002,-50.559235,0.14361665,False,False,False,0.0,0.0,0.0,3.0,4.0,1.0,1.0,-0.0007518796992481,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.55029296875,40.8935546875,81.1767578125,-40.283203125,-36.31591796875,20.0,5.400000000000016,6.830931279733676,10.276031494140623,0.132752434648898,20.0,37.85737041338771,92.85256839115928,1.1949260416864318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25,2023_03_27_0061,2023_03_27_0061,126.80332770581246,7.012700168493266,0.9901943425453004,141.20015382862883,6.1035156,-17.089844,3.0517578,-3945.9229,-4024.0479,-4165.039,-3659.0576,-2863.7695,-1876.2207,-959.47266,314.5054408482148,-44.882202,0.07955615,True,False,False,0.0,0.0,0.0,3.0,4.0,1.0,1.0,-0.0007518796992481,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.982421875,31.585693359375,70.6787109375,-39.093017578125,-36.07177734375,20.0,6.200000000000011,6.746444225536296,5.7891845703125,0.0337206007367526,20.0,,,1.4054354821335515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26,2023_03_27_0067,2023_03_27_0067,167.45738721246386,9.217879615075308,0.9331151813726491,101.22883139486802,12.207031,10.986328,-5.493164,-3077.3926,-3390.503,-2916.2598,-2353.5156,-1718.1396,-1012.57324,-304.56543,417.96003069196513,-52.998352,0.19512005,False,False,True,0.0,0.0,0.0,4.0,7.0,8.0,6.0,-0.0004135338345864,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-35.5224609375,43.243408203125,86.669921875,-43.426513671875,-40.069580078125,20.0,4.200000000000009,5.892154640114457,9.57183837890625,0.0867566593794318,20.0,48.839591867236784,116.85230232751935,1.3322308748146612,0.2410714285714284,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27,2023_03_27_0075,2023_03_27_0075,114.15750096564318,14.56623670562477,2.320019441277417,159.27377044350374,3.0517578,2.4414062,0.61035156,-2637.9395,-2236.3281,-1811.5234,-1387.9395,-950.92773,-575.5615,-115.9668,249.5901925223218,-50.52948,0.2355052,False,True,False,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0058270676691729,4.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-34.36279296875,33.966064453125,82.122802734375,-48.15673828125,-42.17529296875,,6.700000000000012,8.346906548772251,2.37274169921875,0.5058177826564216,20.0,,,1.5185044513452033,0.2804597701149425,1.0,,,,,,,,,,,,,,,,,3.0,0.4356000000000001,,,,,,,,,,
Q28,2023_03_27_0082,2023_03_27_0082,126.49690133616582,13.259704395515463,1.0643672414943195,80.27081221013471,3.6621094,0.0,-12.817383,-6.1035156,-1.8310547,-2124.6338,-1624.1455,-1093.1396,-609.13086,-100.09766,249.3286132812504,-57.523346,0.067999825,False,False,False,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0010150375939849,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-24.0478515625,39.4287109375,97.320556640625,-57.891845703125,-41.748046875,,5.800000000000027,4.894100540417638,-0.368499755859375,0.109697933227345,40.0,31.08467363492848,124.6735110978378,1.645838052516326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29,2023_03_27_0089,2023_03_27_0089,109.95567754792988,8.913664815140237,2.1549389908481977,241.7567897760686,7.9345703,-2.4414062,-2.4414062,4.8828125,-4984.131,-3978.2715,-3076.1719,-2269.287,-1439.8193,-634.1553,223.78104073660765,-59.431458,0.11918446,False,False,False,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0082706766917293,4.0,5.0,6.0,8.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-33.111572265625,43.64013671875,103.45458984375,-59.814453125,-39.764404296875,,4.500000000000004,5.683979614328463,-0.38299560546875,0.3294623655913978,40.0,30.9308027355386,138.21904944996857,1.6859561144064052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30,2023_03_27_0096,2023_03_27_0096,124.23411122142042,14.332821126132478,0.926815080262814,64.66382801449939,-11.59668,-17.089844,-923.4619,-964.9658,-1004.0283,-750.7324,-432.73926,-102.53906,-3.0517578,-10.986328,226.571219308036,-40.031433,0.123435095,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,17.495287280780158,77.21760660604626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31,2023_03_27_0101,2023_03_27_0101,152.77907717920573,14.240041950605718,2.135501329059558,149.96453918232464,10.986328,-33.569336,-0.61035156,-2584.8389,-2194.8242,-1761.4746,-1319.5801,-908.2031,-476.68457,-70.19043,386.1345563616076,-54.332733,0.23165138,True,False,True,0.0,0.0,0.0,4.0,7.0,8.0,10.0,3.759398496241356e-05,11.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-38.02490234375,30.94482421875,77.45361328125,-46.5087890625,-44.464111328125,20.0,5.500000000000005,6.86010308593895,7.823944091796875,0.0930961649003591,20.0,,,1.380340200858808,0.2812499999999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q32,2023_03_27_0107,2023_03_27_0107,285.7160827668307,18.663661408322103,2.2048256228152536,118.13467757361504,-1.8310547,-3.0517578,-10.986328,-7.3242188,-1237.793,-983.27637,-733.6426,-494.99512,-234.98535,-9.155273,461.0770089285719,-53.63922,0.2735548,False,False,True,0.0,0.0,0.0,5.0,7.0,9.0,11.0,-0.0001503759398496,12.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-36.1328125,32.867431640625,78.338623046875,-45.47119140625,-42.633056640625,20.0,5.699999999999983,6.704952557658888,8.16802978515625,0.0573493419785142,20.0,41.764826594299535,102.75500230498815,2.03542021357858,0.2521588946459414,1.0,,,,,,,,,,,,,,,,,2.0,0.2144,,,,,,,,,,
Q33,2023_03_27_0110,2023_03_27_0110,120.86401555041904,15.11601337842979,0.9906203571997568,65.534498574429,7.9345703,-7.3242188,-6.1035156,-2184.4482,-1828.0029,-1448.9746,-1060.1807,-697.0215,-336.91406,-1.8310547,264.020647321429,-59.52072,0.1484199,True,True,True,0.0,0.0,0.0,0.0,2.0,5.0,6.0,0.0177443609022556,8.0,8.0,10.0,11.0,10.0,10.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,-37.2314453125,35.247802734375,81.23779296875,-45.989990234375,-39.520263671875,40.0,4.70000000000001,6.407503548328916,13.530731201171877,0.14771809953326,40.0,36.66341083893601,138.8656955844084,1.7283246877379856,0.3592677345537757,1.0,,,,,,,,,,,,,,,,,6.0,0.6928,,,,,,,,,,
Q34,2023_03_27_0116,2023_03_27_0116,153.28189416164795,8.577698269637562,2.087149153625972,243.3227525633356,2.4414062,0.0,3.6621094,-5332.0312,-4812.622,-3958.7402,-3147.583,-2342.5293,-1502.0752,-681.7627,238.38588169642884,-44.999695,0.17333071,True,False,False,0.0,0.0,1.0,5.0,7.0,9.0,11.0,-0.0016541353383458,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-35.308837890625,26.85546875,73.79150390625,-46.93603515625,-44.769287109375,0.0,7.099999999999995,6.720501030410557,-1.93634033203125,0.2585972066714603,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q35,2023_03_27_0122,2023_03_27_0122,131.27930435302125,15.295071692057473,0.9247939014954968,60.463521852972406,11.59668,3.0517578,-6.713867,-2181.3965,-1795.6543,-1390.9912,-1077.2705,-711.6699,-341.79688,13.427734,240.34772600446448,-55.036926,0.1446158,False,False,True,0.0,0.0,0.0,2.0,5.0,7.0,9.0,0.0045864661654135,9.0,9.0,10.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-37.78076171875,34.515380859375,81.878662109375,-47.36328125,-19.47021484375,20.0,3.899999999999987,7.063354371488105,7.67364501953125,0.1339388301268806,20.0,29.230947670880347,121.61940600318964,1.504995680319265,0.254304635761589,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q36,2023_03_27_0129,2023_03_27_0129,252.68023715596345,15.227972495958042,0.9147109507110134,60.06780948375137,-5.493164,3.0517578,13.427734,-311.88965,-269.16504,-145.87402,-45.166016,-4.272461,10.986328,12.207031,437.0553152901784,-22.052002,0.3653981,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q37,2023_03_27_0132,2023_03_27_0132,89.41710674474396,9.99060311758808,0.9213946300215998,92.22612680905314,-33.569336,4.272461,9.765625,-3711.5479,-3133.545,-2495.7275,-1876.831,-1210.9375,-488.8916,6.713867,151.19280133928606,-27.555847,0.36004144,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q38,2023_03_27_0136,2023_03_27_0136,178.18506556601932,9.825520917926864,0.8434621649993981,85.84401499369709,-6.713867,4.272461,-18.920898,-15.869141,-1.8310547,-3429.5654,-2843.0176,-2139.8926,-1362.915,-659.79004,232.50034877232164,-37.760162,0.15397306,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,22.236062640233836,95.63883563034447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q39,2023_03_27_0142,2023_03_27_0142,79.06603930486007,7.149747347679001,0.9061371832168524,126.73695155270192,22.583008,-3.6621094,0.61035156,-2680.0537,-2274.7803,-2445.0684,-1995.8496,-1182.8613,-300.90332,10.986328,293.57910156250045,-36.416626,0.15669136,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q41,2023_03_27_0146,2023_03_27_0146,152.88941097900724,14.835004483822582,0.804836403948964,54.25252178566105,15.869141,4.272461,1.2207031,-2727.0508,-2291.2598,-1875.6104,-1481.9336,-1123.6572,-721.43555,-340.57617,265.7645089285718,-55.033875,0.08611154,False,True,False,0.0,0.0,0.0,2.0,6.0,7.0,9.0,0.0076315789473684,10.0,12.0,10.0,10.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-35.82763671875,40.1611328125,85.418701171875,-45.257568359375,-40.252685546875,20.0,4.399999999999987,6.493703180642662,9.77630615234375,0.0889955386992105,20.0,25.946609139396024,97.63007575390576,1.5521696615748704,0.2187218721872186,1.0,,,,,,,,,,,,,,,,,6.0,0.6663000000000001,,,,,,,,,,
